date,semaine,jour,type_seance,distance_km,denivele_m,tss,ctl,atl,tsb,atl_ctl_ratio,fatigue_generale,stress_percu,douleurs_musculaires,qualite_sommeil,motivation,duree_sommeil_h,s_subjectif,mod_subjectif,rrs_objectif,rrs_daily,etat
2026-05-04,S1,Lun,repos,0,0,0,53.7,47.1,6.5,0.878,2,2,2,2,4,7.5,0.821,1.192,74.3,88.5,forme_stable
2026-05-05,S1,Mar,endurance_fondamentale,8,0,35,53.2,45.4,7.8,0.853,2,2,2,2,4,7.5,0.821,1.192,75.7,90.2,forme_stable
2026-05-06,S1,Mer,fractionne,10,0,70,53.6,48.9,4.7,0.912,2,2,2,2,4,7.0,0.821,1.192,71.8,85.5,forme_stable
2026-05-07,S1,Jeu,endurance_fondamentale,7,0,28,53.0,45.9,7.1,0.866,3,2,3,2,4,7.0,0.746,1.147,74.4,85.4,forme_stable
2026-05-08,S1,Ven,repos,0,0,0,51.8,39.4,12.4,0.76,2,2,2,2,4,7.5,0.821,1.192,81.1,96.7,forme_stable
2026-05-09,S1,Sam,sortie_longue,18,400,80,52.4,45.2,7.3,0.861,2,2,2,2,5,7.5,0.858,1.215,74.1,90.1,forme_stable
2026-05-10,S1,Dim,endurance_fondamentale,6,0,22,51.7,41.9,9.9,0.809,3,2,3,2,4,7.0,0.746,1.147,77.2,88.6,forme_stable
2026-05-11,S2,Lun,repos,0,0,0,50.5,35.9,14.6,0.711,3,2,3,2,4,7.5,0.746,1.147,83.6,95.9,surcompensation
2026-05-12,S2,Mar,endurance_fondamentale,8,0,35,50.1,35.8,14.4,0.713,2,2,2,2,4,7.5,0.821,1.192,82.9,98.8,pic_de_forme
2026-05-13,S2,Mer,tempo,12,0,85,50.9,42.8,8.2,0.84,3,2,3,2,4,7.0,0.746,1.147,74.0,84.9,forme_stable
2026-05-14,S2,Jeu,endurance_fondamentale,8,0,32,50.5,41.3,9.2,0.817,3,3,3,3,3,7.0,0.642,1.085,75.2,81.6,forme_stable
2026-05-15,S2,Ven,endurance_fondamentale,6,0,22,49.8,38.5,11.3,0.773,3,2,3,2,4,7.0,0.746,1.147,77.7,89.2,forme_stable
2026-05-16,S2,Sam,sortie_longue,22,800,110,51.3,48.7,2.5,0.95,2,2,2,2,5,7.5,0.858,1.215,66.6,80.9,accumulation
